rs;kreis;sonst_mob_jan;pend_mob_jan;sonst_mob_feb;pend_mob_feb;sonst_mob_mär;pend_mob_mär;sonst_mob_apr;pend_mob_apr;sonst_mob_mai;pend_mob_mai;sonst_mob_jun;pend_mob_jun;sonst_mob_jul;pend_mob_jul;sonst_mob_aug;pend_mob_aug;sonst_mob_sep;pend_mob_sep;sonst_mob_okt;pend_mob_okt;sonst_mob_nov;pend_mob_nov;sonst_mob_dez;pend_mob_dez
9576;Roth;7;1;16;5;-20;-4;-34;-30;-9;-21;-13;7;3;-2;6;5;8;14;4;-2;-6;1;-19;-5
9577;Weißenburg-Gunzenhausen;11;7;26;13;-13;4;-29;-26;2;-17;10;32;50;28;55;44;52;49;25;15;14;16;-2;8
9661;Aschaffenburg, Stadt;-3;-8;7;-5;-36;-19;-46;-44;-14;-30;-16;-3;-1;-10;2;3;9;14;5;-2;-9;-1;-30;-15
9662;Schweinfurt, Stadt;-3;-7;8;-6;-30;-15;-42;-42;-11;-30;-14;-2;-3;-13;0;-2;1;8;-5;-7;-11;-10;-29;-19
9663;Würzburg, Stadt;-7;-12;4;-9;-39;-22;-52;-48;-24;-37;-24;-9;-10;-17;-6;-7;-8;1;-9;-11;-19;-13;-39;-24
9671;Aschaffenburg;-7;-9;-1;-7;-29;-12;-39;-34;-16;-26;-17;0;-5;-9;4;2;8;13;5;-3;-6;1;-24;-10
9672;Bad Kissingen;-13;-13;-10;-15;-36;-15;-51;-43;-24;-31;-20;4;1;-1;23;19;30;35;27;18;12;18;-6;8
9673;Rhön-Grabfeld;-9;-11;-3;-14;-33;-14;-47;-42;-19;-32;-10;8;9;0;28;25;32;40;28;22;12;16;-6;6
9674;Haßberge;-7;-9;1;-8;-27;-10;-39;-37;-14;-27;-20;0;-4;-6;22;21;26;32;19;14;12;15;-6;5
9675;Kitzingen;-2;-8;5;-5;-21;-6;-32;-30;-2;-19;-6;17;12;3;20;15;25;28;23;12;7;9;-16;-5
9676;Miltenberg;-8;-10;-2;-9;-33;-14;-45;-39;-20;-30;-22;-3;-3;-9;2;-3;8;14;6;-1;3;9;-12;2
